ISO	GDP.2011	pop.2010	Country.name	NOC	F.2012	M.2012	NOC SIZE	NOC.Size.Per.100K.pop	Gold	Silver	Bronze	Total	Bronze.Per.100K.pop	Silver.Per.100K.pop	Gold.Per.100K.pop	Total.Per.100K.pop	Bronze.Per.1BN.GDP	Silver.Per.1BN.GDP	Gold.Per.1BN.GDP	Total.Per.1BN.GDP	Bronze.Per.Athlete	Silver.Per.Athlete	Gold.Per.Athlete	Total.Per.Athlete	Bronze.pop	Silver.pop	Gold.pop	Total.pop	Bronze.GDP	Silver.GDP	Gold.GDP	Total.GDP	Bronze.Athlete	Silver.Athlete	Gold.Athlete	Total.Athlete	GDP rank score	Population rank score	Athlete rank score	Official medal ranking	GDP rank	Pop rank	Team size rank		Total medal score (gold=3, silver =2, bronze=1)
PSE	4000000000	4152000	Palestine	PLE	2	3	5	0.120423892100193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
PAN	30676800000	3517000	Panama	PAN	2	6	8	0.22746659084447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
PNG	12937183216	6858000	Papua New Guinea	PNG	4	4	8	0.116652085156022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
PRY	23877089240	6454000	Paraguay	PAR	4	4	8	0.123954136969321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
PER	176662000000	29076000	Peru	PER	7	9	16	0.055028201953501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
PHL	224754000000	93261000	Philippines	PHI	4	7	11	0.011794855298571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
POL	514496000000	38184000	Poland	POL	87	130	217	0.568300858998534	2	1	3	6	0.007856693903206	0.002618897967735	0.00523779593547	0.015713387806411	0.005830949123025	0.001943649707675	0.00388729941535	0.01166189824605	0.013824884792627	0.004608294930876	0.009216589861751	0.027649769585254	1.4	0.5	0.6	2.5	0.91	0.4	0.35	1.66	1.74	0.69	1.61	4.04	2.76	4.2	7.95	23	42	46	49		11
PRT	237522000000	10638000	Portugal	POR	34	46	80	0.752021056589584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
PRI	99202000000	3978000	Puerto Rico	PUR	6	19	25	0.628456510809452	0	0	1	1	0.025138260432378	0	0	0.025138260432378	0.010080441926574	0	0	0.010080441926574	0.04	0	0	0.04	4.4	0	0	4.4	1.58	0	0	1.58	5.03	0	0	5.03	1.58	4.4	5.03	61	47	45	61		1
QAT	172982000000	1759000	Qatar	QAT	4	8	12	0.68220579874929	0	0	1	1	0.056850483229107	0	0	0.056850483229107	0.00578094830676	0	0	0.00578094830676	0.083333333333333	0	0	0.083333333333333	9.9	0	0	9.9	0.91	0	0	0.91	10.49	0	0	10.49	0.91	9.9	10.49	61	58	28	42		1
ROU	179794000000	21438000	Romania	ROU	49	54	103	0.480455266349473	2	4	2	8	0.009329228472805	0.018658456945611	0.009329228472805	0.037316913891221	0.01112384172998	0.02224768345996	0.01112384172998	0.04449536691992	0.019417475728155	0.038834951456311	0.019417475728155	0.077669902912621	1.6	3.7	1	6.3	1.75	4.53	0.99	7.27	2.44	5.83	3.39	11.66	13.78	12	24.27	15	18	25	13		16
RUS	1857770000000	141750000	Russia	RUS	227	208	435	0.306878306878307	7	17	18	42	0.012698412698413	0.011992945326279	0.004938271604938	0.02962962962963	0.009689035779456	0.009150756013931	0.003767958358677	0.022607750152064	0.041379310344828	0.039080459770115	0.016091954022988	0.096551724137931	2.2	2.4	0.5	5.1	1.52	1.86	0.33	3.71	5.21	5.87	2.81	13.89	6.23	8.5	25.38	4	31	34	12		73
